type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,134.5026,61.1787,19.76,0.02,64.27,0.06,4.02
Forest fire,3,134.5889,61.1588,19.76,0.02,64.27,0.06,4.02
Forest fire,3,134.7296,61.1435,19.17,0.04,68.19,0.07,4.02
Forest fire,3,134.8324,61.1592,19.17,0.04,68.19,0.07,4.02
Forest fire,3,135.1807,61.1459,19.17,0.04,68.19,0.07,4.02
Forest fire,3,135.1858,61.0473,19.17,0.04,68.19,0.07,4.02
Forest fire,3,135.2463,61.0253,19.17,0.04,68.19,0.07,4.02
Forest fire,3,135.3209,61.0305,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.4189,61.0695,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.4143,61.1654,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.4315,61.1982,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.522,61.2417,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.5803,61.2921,17.62,0.05,72.76,0.19,4.02
Forest fire,3,135.615,61.2781,17.62,0.05,72.76,0.19,4.02
Forest fire,3,135.5686,61.3351,17.62,0.05,72.76,0.19,4.02
Forest fire,3,135.3737,61.2938,17.62,0.05,72.76,0.19,4.02
Forest fire,3,135.2532,61.2819,18.93,0.04,67.49,0.22,4.02
Forest fire,3,135.6199,61.1649,17.58,0.03,74.33,0.1,4.02
Forest fire,3,135.6224,60.9637,17.58,0.03,74.33,0.1,4.92
Forest fire,3,135.6337,60.9218,17.58,0.03,74.33,0.1,4.92
Forest fire,3,135.5855,60.8871,17.58,0.03,74.33,0.1,4.92
Forest fire,3,135.6029,60.8174,17.58,0.03,74.33,0.1,4.92
Forest fire,3,135.8766,60.7301,18.03,0.02,71.46,0.18,4.92
Forest fire,3,135.9188,60.7913,17.58,0.03,74.33,0.1,4.92
Forest fire,3,136.0157,60.7679,16.04,0.03,79.12,0.23,5.12
Forest fire,3,135.9352,60.6673,18.03,0.02,71.46,0.18,4.92
Forest fire,3,135.9091,60.6374,18.03,0.02,71.46,0.18,4.92
Forest fire,3,136.4066,60.1826,16.42,0.02,73.76,0.09,5.12
Forest fire,3,136.5046,60.2628,16.58,0.02,75.82,0.18,5.12
Forest fire,3,136.5499,60.2755,16.58,0.02,75.82,0.18,5.12
Forest fire,3,136.6817,60.1966,14.93,0.06,80.43,0.1,5.12
Forest fire,3,136.6699,60.1746,14.93,0.06,80.43,0.1,5.12
Forest fire,3,136.6347,60.1795,14.93,0.06,80.43,0.1,5.12
Forest fire,3,136.663,60.1334,14.93,0.06,80.43,0.1,5.12
Forest fire,3,136.1263,59.9221,16.42,0.02,73.76,0.09,5.45
Forest fire,3,136.1211,59.8944,16.42,0.02,73.76,0.09,5.45
Forest fire,3,135.6517,59.6299,17.81,0.03,72.09,0.12,5.5
Natural fire,4,134.1136,60.2131,19.35,0.04,66.54,0.24,4.92
Natural fire,4,134.2096,60.3883,19.57,0.03,66.47,0.24,4.92
Natural fire,4,134.213,60.4172,19.57,0.03,66.47,0.24,4.92
Natural fire,4,134.1653,60.457,19.57,0.03,66.47,0.24,4.92
Natural fire,4,134.0949,60.4848,19.57,0.03,66.47,0.24,4.92
Natural fire,4,133.9944,60.516,19.71,0.0,63.08,0.21,5.61
Natural fire,4,133.9333,60.5427,19.71,0.0,63.08,0.21,5.61
Natural fire,4,133.774,60.5014,19.71,0.0,63.08,0.21,5.61
Natural fire,4,133.7156,60.3729,19.71,0.0,63.08,0.21,5.61
Natural fire,4,133.7269,60.352,19.71,0.0,63.08,0.21,5.61
Natural fire,4,133.3752,60.4215,20.06,0.0,58.9,0.21,5.61
Natural fire,4,133.3838,60.4404,20.06,0.0,58.9,0.21,5.61
Natural fire,4,133.4067,60.4756,20.06,0.0,58.9,0.21,5.61
Natural fire,4,133.0617,60.2319,20.17,0.01,62.11,0.29,5.61
Natural fire,4,133.5284,59.995,19.85,0.02,63.99,0.3,5.66
Natural fire,4,133.5884,60.0127,19.85,0.02,63.99,0.3,5.61
Forest fire,3,132.8265,60.0308,20.17,0.01,62.11,0.29,5.61
Forest fire,3,132.8285,60.0729,20.17,0.01,62.11,0.29,5.61
Forest fire,3,132.1286,59.9446,20.24,0.0,60.53,0.2,5.66
Forest fire,3,132.113,59.7495,20.42,0.0,62.29,0.28,5.66
Forest fire,3,131.9441,59.7174,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.9093,59.6484,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.84,59.6149,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.7932,59.5685,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.7958,59.5067,20.42,0.0,62.29,0.28,5.2
Forest fire,3,132.4627,59.5797,20.04,0.0,64.3,0.28,5.66
Forest fire,3,132.536,59.5115,20.04,0.0,64.3,0.28,5.66
Forest fire,3,132.4536,59.4577,20.04,0.0,64.3,0.28,5.66
Forest fire,3,132.3595,59.512,20.04,0.0,64.3,0.28,5.66
Forest fire,3,132.365,59.5382,20.04,0.0,64.3,0.28,5.66
Forest fire,3,131.9422,59.359,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.8723,59.3765,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.8294,59.381,20.42,0.0,62.29,0.28,5.2
Forest fire,3,131.8666,59.2954,20.42,0.0,62.29,0.28,5.2
Forest fire,3,133.0039,59.4473,19.3,0.03,67.16,0.25,5.66
